Make,Model,Miles,Year,Exterior Color,Interior Color,Other Info,Price
GMC,Sierra 1500,"2,927 miles",2020,Gray,Black,"No accidents, 1 Owner, Personal use","$57,000 "
GMC,Sierra 1500,"85,253 miles",2016,White,Black,"1 accident, 1 Owner, Personal use","$31,995 "
Ram,2500,"79,605 miles",2014,White,Gray,"No accidents, 1 Owner, Fleet use","$26,000 "
Toyota,Tundra,"125,182 miles",2014,Silver,Black,"No accidents, 1 Owner, Personal use","$28,995 "
Ford,Super Duty F-350 Chassis Cab,"1,359 miles",2018,White,Gray,"No accidents, 1 Owner, Personal use","$37,995 "
Ram,1500,"71,364 miles",2014,Black,Beige,"No accidents, 1 Owner, Personal use","$24,999 "
Ford,F-150,"7,339 miles",2017,Red,Gray,"No accidents, 1 Owner, Personal use","$33,411 "
Ford,Super Duty F-250,"93,526 miles",2015,Black,Unknown,"No accidents, 3 Owners, Personal use","$31,446 "
Toyota,Tacoma,"33,432 miles",2017,Gray,Unknown,"No accidents, 1 Owner, Personal use","$36,994 "
Chevrolet,Silverado 1500,"9,480 miles",2020,Silver,Black,"No accidents, 1 Owner, Personal use","$40,995 "
Nissan,Titan,"27,131 miles",2017,Gray,Black,"No accidents, 1 Owner, Personal use","$31,999 "
Ford,Super Duty F-250,"172,191 miles",2004,Red,Unknown,"No accidents, 4 Owners, Personal use","$12,661 "
Ram,2500,"8,282 miles",2019,White,Black,"No accidents, 1 Owner, Personal use","$46,888 "
Nissan,Titan,"33,248 miles",2017,Black,Black,"No accidents, 1 Owner, Personal use","$38,594 "
Ford,Super Duty F-350 Chassis Cab,"25,727 miles",2016,White,Unknown,"No accidents, 1 Owner, Personal use","$30,595 "
Chevrolet,Silverado 1500,"11,766 miles",2020,Red,Black,"No accidents, 1 Owner, Personal use","$40,690 "
Ford,Super Duty F-250,"54,828 miles",2015,Gray,Black,"No accidents, 1 Owner, Personal use","$45,995 "
Ram,1500,"20,068 miles",2019,Red,Black,"No accidents, 1 Owner, Personal use","$39,987 "
Toyota,Tundra,"47,644 miles",2017,Black,Black,"No accidents, 1 Owner, Personal use","$39,394 "
Ford,Super Duty F-250,"163,246 miles",1999,Green,Unknown,"No accidents, 3 Owners, Personal use","$9,995 "
Ram,1500,"23,532 miles",2016,Red,Black,"No accidents, 1 Owner, Personal use","$35,881 "
Ford,F-150,"24,012 miles",2017,Gray,Black,"No accidents, 1 Owner, Fleet use","$33,695 "
Ford,F-150,"35,793 miles",2019,Black,Black,"No accidents, 1 Owner, Fleet use","$41,051 "
Ram,1500,"101,115 miles",2012,Red,Gray,"No accidents, 4 Owners, Personal use","$18,295 "
Nissan,Frontier,"33,384 miles",2019,Silver,Gray,"No accidents, 1 Owner, Personal use","$25,898 "
Ford,F-150,"7,010 miles",2019,White,Gray,"No accidents, 1 Owner, Fleet use","$25,490 "
Ram,1500,"25,708 miles",2020,White,Black,"1 accident, 1 Owner, Personal use","$32,000 "
Ram,1500,"77,196 miles",2016,Gray,Gray,"1 accident, 2 Owners, Fleet use","$20,800 "
Chevrolet,Silverado 1500,"75,690 miles",2016,White,Brown,"No accidents, 2 Owners, Personal use","$34,685 "
Ford,F-150,"27,976 miles",2019,White,Unknown,"No accidents, 1 Owner, Fleet use","$51,984 "
Ram,1500,"92,912 miles",2011,Silver,Gray,"No accidents, 2 Owners, Personal use","$15,826 "
Chevrolet,Silverado 1500,"7,000 miles",2020,Gray,Black,"No accidents, 1 Owner, Personal use","$32,988 "
GMC,Sierra 1500,"109,881 miles",2015,White,Brown,"1 accident, 1 Owner, Personal use","$27,990 "
Toyota,Tacoma,"14,446 miles",2019,Gray,Gray,"No accidents, 1 Owner, Personal use","$34,588 "
Jeep,Gladiator,"14,223 miles",2020,Gray,Black,"No accidents, 1 Owner, Personal use","$51,986 "
Ford,F-150,"20,238 miles",2017,Black,Black,"No accidents, 2 Owners, Fleet use","$31,614 "
GMC,Canyon,"89,586 miles",2015,Red,Black,"No accidents, 1 Owner, Personal use","$19,460 "
Toyota,Tacoma,"99,576 miles",2013,Blue,Unknown,"No accidents, 3 Owners, Personal use","$16,000 "
Ram,1500,"34,940 miles",2017,Blue,Gray,"No accidents, 1 Owner, Personal use","$32,000 "
Ram,1500,"18,963 miles",2018,Gray,Black,"No accidents, 1 Owner, Personal use","$44,594 "
GMC,Sierra 1500,"60,900 miles",2015,Black,Black,"No accidents, 3 Owners, Personal use","$34,800 "
GMC,Sierra 2500HD,"63,378 miles",2017,Black,Brown,"No accidents, 1 Owner, Personal use","$50,995 "
